Strong Economy adds 211;000 Jobs, Nathan Price, Dec. 3; 2015, economy
Hydraulic Fracturing For Natural Gas Extraction, Dylan Williams, Dec. 3; 2015, fracking
The Winter, Madison Mendez, Dec. 3; 2015, winter
